|     | task_0_variant   |   task_0_cpu |   task_0_gpu |   task_0_cpu_all_replicas |   task_0_gpu_all_replicas |   task_0_batch |   task_0_replicas |   task_0_latency |   task_0_throughput |   task_0_throughput_all_replicas | task_0_measured   | task_1_variant   |   task_1_cpu |   task_1_gpu |   task_1_cpu_all_replicas |   task_1_gpu_all_replicas |   task_1_batch |   task_1_replicas |   task_1_latency |   task_1_throughput |   task_1_throughput_all_replicas | task_1_measured   |   pipeline_latency |   pipeline_throughput |   pipeline_cpu |   pipeline_gpu |   pipeline_accuracy |   task_0_accuracy |   task_1_accuracy |
|----:|:-----------------|-------------:|-------------:|--------------------------:|--------------------------:|---------------:|------------------:|-----------------:|--------------------:|---------------------------------:|:------------------|:-----------------|-------------:|-------------:|--------------------------:|--------------------------:|---------------:|------------------:|-----------------:|--------------------:|---------------------------------:|:------------------|-------------------:|----------------------:|---------------:|---------------:|--------------------:|------------------:|------------------:|
|   0 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              2 |              0 |                0.25 |               0.5 |               0.5 |
|   1 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              2 |              0 |                0.25 |               0.5 |               0.5 |
|   2 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.4 |               3.33333 |              2 |              0 |                0.25 |               0.5 |               0.5 |
|   3 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.5 |               2.5     |              2 |              0 |                0.25 |               0.5 |               0.5 |
|   4 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |               5       |              2 |              0 |                0.25 |               0.5 |               0.5 |
|   5 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              2 |              0 |                0.25 |               0.5 |               0.5 |
|   6 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.5 |               3.33333 |              2 |              0 |                0.25 |               0.5 |               0.5 |
|   7 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.6 |               2.5     |              2 |              0 |                0.25 |               0.5 |               0.5 |
|   8 | yolo5n           |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.4 |               3.33333 |              2 |              0 |                0.25 |               0.5 |               0.5 |
