,index,model-name,model-version,batch-size,latency
0,0,resnet,1,64,6.8970935344696045
1,1,resnet,1,64,6.865696907043457
2,2,resnet,1,64,6.869856357574463
3,3,resnet,1,64,6.947052478790283
4,4,resnet,1,64,6.939802408218384
5,5,resnet,1,64,6.947943925857544
6,6,resnet,1,64,6.852490425109863
7,7,resnet,1,64,7.0163164138793945
8,8,resnet,1,64,6.94696307182312
9,9,resnet,1,64,7.05709433555603
10,10,resnet,1,64,6.865750551223755
11,11,resnet,1,64,7.033114433288574
12,12,resnet,1,64,7.053550481796265
13,13,resnet,1,64,6.9078357219696045
14,14,resnet,1,64,6.851069927215576
15,15,resnet,1,64,6.77801251411438
16,16,resnet,1,64,6.869649171829224
17,17,resnet,1,64,6.807140588760376
18,18,resnet,1,64,6.822652101516724
19,19,resnet,1,64,6.735133409500122
20,20,resnet,1,64,6.769220590591431
21,0,resnet,2,64,6.977742910385132
22,1,resnet,2,64,6.834641218185425
23,2,resnet,2,64,6.78477668762207
24,3,resnet,2,64,6.737390518188477
25,4,resnet,2,64,6.7102227210998535
26,5,resnet,2,64,6.751224040985107
27,6,resnet,2,64,6.773200035095215
28,7,resnet,2,64,6.747611045837402
29,8,resnet,2,64,6.756726026535034
30,9,resnet,2,64,6.809833288192749
31,10,resnet,2,64,6.799562454223633
32,11,resnet,2,64,6.839439868927002
33,12,resnet,2,64,6.885641098022461
34,13,resnet,2,64,6.829855680465698
35,14,resnet,2,64,6.840764284133911
36,15,resnet,2,64,6.868127822875977
37,16,resnet,2,64,6.8396196365356445
38,17,resnet,2,64,6.8538548946380615
39,18,resnet,2,64,6.834606170654297
40,0,resnet,3,64,7.249393939971924
41,1,resnet,3,64,7.162222862243652
42,2,resnet,3,64,7.057497501373291
43,3,resnet,3,64,7.114892244338989
44,4,resnet,3,64,7.019158601760864
45,5,resnet,3,64,7.020777225494385
46,6,resnet,3,64,7.144159555435181
47,7,resnet,3,64,7.030365705490112
48,8,resnet,3,64,7.095895767211914
49,9,resnet,3,64,7.062885284423828
50,10,resnet,3,64,7.060243368148804
51,11,resnet,3,64,7.094113826751709
52,12,resnet,3,64,7.043889760971069
53,13,resnet,3,64,7.187258005142212
54,14,resnet,3,64,7.109091758728027
55,15,resnet,3,64,6.984544038772583
56,16,resnet,3,64,7.032050609588623
57,17,resnet,3,64,7.061130046844482
58,18,resnet,3,64,7.032281875610352
59,0,resnet,4,64,8.903087615966797
60,1,resnet,4,64,9.080986499786377
61,2,resnet,4,64,8.737454891204834
62,3,resnet,4,64,8.770837306976318
63,4,resnet,4,64,8.56966233253479
64,5,resnet,4,64,8.61163592338562
65,6,resnet,4,64,8.575863599777222
66,7,resnet,4,64,8.590531587600708
67,8,resnet,4,64,8.797374486923218
68,9,resnet,4,64,8.63794493675232
69,10,resnet,4,64,8.57904577255249
70,11,resnet,4,64,8.729510068893433
71,12,resnet,4,64,8.655021667480469
72,13,resnet,4,64,8.751007080078125
73,14,resnet,4,64,8.672322511672974
74,15,resnet,4,64,8.609100580215454
75,0,resnet,5,64,11.724237203598022
76,1,resnet,5,64,12.339800834655762
77,2,resnet,5,64,11.137793064117432
78,3,resnet,5,64,10.994504451751709
79,4,resnet,5,64,11.025717496871948
80,5,resnet,5,64,11.129327535629272
81,6,resnet,5,64,11.169466018676758
82,7,resnet,5,64,11.514653444290161
83,8,resnet,5,64,10.926566362380981
84,9,resnet,5,64,11.077600955963135
85,10,resnet,5,64,10.961155891418457
86,11,resnet,5,64,10.954344511032104
87,12,resnet,5,64,10.778259992599487
88,13,resnet,5,64,11.332716464996338
89,14,resnet,5,64,11.373792886734009
90,15,resnet,5,64,11.355635404586792
91,0,resnet,6,64,12.849915981292725
92,1,resnet,6,64,11.899104833602905
93,2,resnet,6,64,11.816191673278809
94,3,resnet,6,64,11.838205099105835
95,4,resnet,6,64,12.72402024269104
96,5,resnet,6,64,12.459184646606445
97,6,resnet,6,64,12.92112135887146
98,7,resnet,6,64,12.17695164680481
99,8,resnet,6,64,12.410128116607666
100,9,resnet,6,64,12.448927164077759
101,10,resnet,6,64,12.05206823348999
102,11,resnet,6,64,11.84592580795288
103,12,resnet,6,64,12.255030155181885
104,13,resnet,6,64,12.231957912445068
105,14,resnet,6,64,11.635583639144897
106,15,resnet,6,64,12.221614122390747
107,0,xception,1,64,7.210029125213623
108,1,xception,1,64,7.1330201625823975
109,2,xception,1,64,7.073188304901123
110,3,xception,1,64,7.007681608200073
111,4,xception,1,64,6.991997003555298
112,5,xception,1,64,7.004656076431274
113,6,xception,1,64,6.992136716842651
114,7,xception,1,64,7.069391250610352
115,8,xception,1,64,7.129520893096924
