,index,model-name,model-version,batch-size,latency
0,0,resnet,1,16,1.7964434623718262
1,1,resnet,1,16,1.7606401443481445
2,2,resnet,1,16,1.7640671730041504
3,3,resnet,1,16,1.7349767684936523
4,4,resnet,1,16,1.7113432884216309
5,5,resnet,1,16,1.8037447929382324
6,6,resnet,1,16,1.7599458694458008
7,7,resnet,1,16,1.7458224296569824
8,8,resnet,1,16,1.7212905883789062
9,9,resnet,1,16,1.7220087051391602
10,10,resnet,1,16,1.7789409160614014
11,11,resnet,1,16,1.7504463195800781
12,12,resnet,1,16,1.7280914783477783
13,13,resnet,1,16,1.710369348526001
14,14,resnet,1,16,1.72780442237854
15,15,resnet,1,16,1.7245004177093506
16,16,resnet,1,16,1.7221741676330566
17,17,resnet,1,16,1.770019292831421
18,18,resnet,1,16,1.7028920650482178
19,19,resnet,1,16,1.6826002597808838
20,20,resnet,1,16,1.692406177520752
21,21,resnet,1,16,1.6941990852355957
22,22,resnet,1,16,1.723830223083496
23,23,resnet,1,16,1.7469558715820312
24,24,resnet,1,16,1.7508442401885986
25,25,resnet,1,16,1.7408769130706787
26,26,resnet,1,16,1.7291340827941895
27,27,resnet,1,16,1.7433276176452637
28,28,resnet,1,16,1.7113349437713623
29,29,resnet,1,16,1.732731819152832
30,30,resnet,1,16,1.7313711643218994
31,31,resnet,1,16,1.7529103755950928
32,32,resnet,1,16,1.752863883972168
33,33,resnet,1,16,1.7282683849334717
34,34,resnet,1,16,1.710646152496338
35,35,resnet,1,16,1.788912296295166
36,36,resnet,1,16,1.7584912776947021
37,37,resnet,1,16,1.735018253326416
38,38,resnet,1,16,1.7267329692840576
39,39,resnet,1,16,1.7173218727111816
40,40,resnet,1,16,1.7361958026885986
41,41,resnet,1,16,1.745729923248291
42,42,resnet,1,16,1.7256267070770264
43,43,resnet,1,16,1.7302765846252441
44,44,resnet,1,16,1.7118322849273682
45,45,resnet,1,16,1.6984078884124756
46,46,resnet,1,16,1.694525957107544
47,47,resnet,1,16,1.6967720985412598
48,48,resnet,1,16,1.730879545211792
49,49,resnet,1,16,1.7174060344696045
50,50,resnet,1,16,1.7236485481262207
51,51,resnet,1,16,1.7131288051605225
52,52,resnet,1,16,1.7703816890716553
53,53,resnet,1,16,1.7324464321136475
54,54,resnet,1,16,1.7363452911376953
55,55,resnet,1,16,1.7131843566894531
56,56,resnet,1,16,1.703270435333252
57,57,resnet,1,16,1.7096266746520996
58,58,resnet,1,16,1.7385358810424805
59,59,resnet,1,16,1.731630802154541
60,60,resnet,1,16,1.7265608310699463
61,61,resnet,1,16,1.7191908359527588
62,62,resnet,1,16,1.7006890773773193
63,63,resnet,1,16,1.703603982925415
64,64,resnet,1,16,1.6899521350860596
65,65,resnet,1,16,1.6972618103027344
66,66,resnet,1,16,1.7150399684906006
67,67,resnet,1,16,1.7457530498504639
68,68,resnet,1,16,1.7271451950073242
69,69,resnet,1,16,1.6945972442626953
70,70,resnet,1,16,1.7822327613830566
71,71,resnet,1,16,1.749572992324829
72,72,resnet,1,16,1.72859525680542
73,73,resnet,1,16,1.7406032085418701
74,74,resnet,1,16,1.7014672756195068
75,0,resnet,2,16,1.7871270179748535
76,1,resnet,2,16,1.7250361442565918
77,2,resnet,2,16,1.7294750213623047
78,3,resnet,2,16,1.7260534763336182
79,4,resnet,2,16,1.72996187210083
80,5,resnet,2,16,1.7219140529632568
81,6,resnet,2,16,1.7376766204833984
82,7,resnet,2,16,1.738847017288208
83,8,resnet,2,16,1.76566743850708
84,9,resnet,2,16,1.734177589416504
85,10,resnet,2,16,1.7443828582763672
86,11,resnet,2,16,1.7201693058013916
87,12,resnet,2,16,1.7375144958496094
88,13,resnet,2,16,1.7549383640289307
89,14,resnet,2,16,1.7476296424865723
90,15,resnet,2,16,1.7395949363708496
91,16,resnet,2,16,1.765665054321289
92,17,resnet,2,16,1.7314879894256592
93,18,resnet,2,16,1.7520287036895752
94,19,resnet,2,16,1.7306108474731445
95,20,resnet,2,16,1.7288234233856201
96,21,resnet,2,16,1.7196614742279053
97,22,resnet,2,16,1.7258102893829346
98,23,resnet,2,16,1.7644822597503662
99,24,resnet,2,16,1.7517633438110352
100,25,resnet,2,16,1.7127156257629395
101,26,resnet,2,16,1.7843234539031982
102,27,resnet,2,16,1.7324445247650146
103,28,resnet,2,16,1.7528164386749268
104,29,resnet,2,16,1.7332031726837158
105,30,resnet,2,16,1.7391881942749023
106,31,resnet,2,16,1.7689003944396973
107,32,resnet,2,16,1.7503821849822998
108,33,resnet,2,16,1.7366960048675537
109,34,resnet,2,16,1.8006072044372559
110,35,resnet,2,16,1.7404792308807373
111,36,resnet,2,16,1.7646667957305908
112,37,resnet,2,16,1.7334489822387695
113,38,resnet,2,16,1.7550506591796875
114,39,resnet,2,16,1.7230238914489746
115,40,resnet,2,16,1.7474846839904785
116,41,resnet,2,16,1.7449567317962646
117,42,resnet,2,16,1.7493011951446533
118,43,resnet,2,16,1.759460210800171
119,44,resnet,2,16,1.7929487228393555
120,45,resnet,2,16,1.741081714630127
121,46,resnet,2,16,1.7040750980377197
122,47,resnet,2,16,1.7077782154083252
123,48,resnet,2,16,1.7367534637451172
124,49,resnet,2,16,1.755904197692871
125,50,resnet,2,16,1.7179930210113525
126,51,resnet,2,16,1.7216293811798096
127,52,resnet,2,16,1.7364020347595215
128,53,resnet,2,16,1.739959478378296
129,54,resnet,2,16,1.7560133934020996
130,55,resnet,2,16,1.7443263530731201
131,56,resnet,2,16,1.7300012111663818
132,57,resnet,2,16,1.7424488067626953
133,58,resnet,2,16,1.7279326915740967
134,59,resnet,2,16,1.7249784469604492
135,60,resnet,2,16,1.72105073928833
136,61,resnet,2,16,1.719496488571167
137,62,resnet,2,16,1.8083183765411377
138,63,resnet,2,16,1.714949369430542
139,64,resnet,2,16,1.7691981792449951
140,65,resnet,2,16,1.738755464553833
141,66,resnet,2,16,1.7488961219787598
142,67,resnet,2,16,1.7160539627075195
143,68,resnet,2,16,1.7367846965789795
144,69,resnet,2,16,1.7329480648040771
145,70,resnet,2,16,1.7538330554962158
146,71,resnet,2,16,1.7341454029083252
147,72,resnet,2,16,1.7171282768249512
148,73,resnet,2,16,1.7345476150512695
149,0,resnet,3,16,1.8856723308563232
150,1,resnet,3,16,1.807654619216919
151,2,resnet,3,16,1.79390549659729
152,3,resnet,3,16,1.7858903408050537
153,4,resnet,3,16,1.793161392211914
154,5,resnet,3,16,1.801436424255371
155,6,resnet,3,16,1.7971906661987305
156,7,resnet,3,16,1.8040237426757812
157,8,resnet,3,16,1.8136093616485596
158,9,resnet,3,16,1.8060939311981201
159,10,resnet,3,16,1.7880587577819824
160,11,resnet,3,16,1.7899343967437744
161,12,resnet,3,16,1.8067867755889893
162,13,resnet,3,16,1.7972359657287598
163,14,resnet,3,16,1.8255276679992676
164,15,resnet,3,16,1.792818546295166
165,16,resnet,3,16,1.8198094367980957
166,17,resnet,3,16,1.7760224342346191
167,18,resnet,3,16,1.7886393070220947
168,19,resnet,3,16,1.8005802631378174
169,20,resnet,3,16,1.8339414596557617
170,21,resnet,3,16,1.7834975719451904
171,22,resnet,3,16,1.7802848815917969
172,23,resnet,3,16,1.7899677753448486
173,24,resnet,3,16,1.8275225162506104
174,25,resnet,3,16,1.7857415676116943
175,26,resnet,3,16,1.7890937328338623
176,27,resnet,3,16,1.7618188858032227
177,28,resnet,3,16,1.8081986904144287
178,29,resnet,3,16,1.803356647491455
179,30,resnet,3,16,1.7935230731964111
180,31,resnet,3,16,1.8257057666778564
181,32,resnet,3,16,1.7924778461456299
182,33,resnet,3,16,1.7923188209533691
183,34,resnet,3,16,1.8103337287902832
184,35,resnet,3,16,1.7819116115570068
185,36,resnet,3,16,1.788825273513794
186,37,resnet,3,16,1.7769863605499268
187,38,resnet,3,16,1.830456256866455
188,39,resnet,3,16,1.8585996627807617
189,40,resnet,3,16,1.7873070240020752
190,41,resnet,3,16,1.7687325477600098
191,42,resnet,3,16,1.7708823680877686
192,43,resnet,3,16,1.8313424587249756
193,44,resnet,3,16,1.7931544780731201
194,45,resnet,3,16,1.8373908996582031
195,46,resnet,3,16,1.81447434425354
196,47,resnet,3,16,1.80619215965271
197,48,resnet,3,16,1.7819490432739258
198,49,resnet,3,16,1.833674669265747
199,50,resnet,3,16,1.7836358547210693
200,51,resnet,3,16,1.8707730770111084
201,52,resnet,3,16,1.8248469829559326
202,53,resnet,3,16,1.7840065956115723
203,54,resnet,3,16,1.8158056735992432
204,55,resnet,3,16,1.7952907085418701
205,56,resnet,3,16,1.864201545715332
206,57,resnet,3,16,1.797379493713379
207,58,resnet,3,16,1.8013288974761963
208,59,resnet,3,16,1.799556016921997
209,60,resnet,3,16,1.7769017219543457
210,61,resnet,3,16,1.8075871467590332
211,62,resnet,3,16,1.7903838157653809
212,63,resnet,3,16,1.8017842769622803
213,64,resnet,3,16,1.8216497898101807
214,65,resnet,3,16,1.8236865997314453
215,66,resnet,3,16,1.8026750087738037
216,67,resnet,3,16,1.8146677017211914
217,68,resnet,3,16,1.7987768650054932
218,69,resnet,3,16,1.7902164459228516
219,70,resnet,3,16,1.7827425003051758
220,0,resnet,4,16,2.224149465560913
221,1,resnet,4,16,2.140404462814331
222,2,resnet,4,16,2.089611530303955
223,3,resnet,4,16,2.1191492080688477
224,4,resnet,4,16,2.1623997688293457
225,5,resnet,4,16,2.089071035385132
226,6,resnet,4,16,2.107985734939575
227,7,resnet,4,16,2.0817878246307373
228,8,resnet,4,16,2.0806169509887695
229,9,resnet,4,16,2.0554885864257812
230,10,resnet,4,16,2.1168861389160156
231,11,resnet,4,16,2.0930020809173584
232,12,resnet,4,16,2.096937417984009
233,13,resnet,4,16,2.084216833114624
234,14,resnet,4,16,2.1141607761383057
235,15,resnet,4,16,2.101316452026367
236,16,resnet,4,16,2.1263575553894043
237,17,resnet,4,16,2.161498546600342
238,18,resnet,4,16,2.095088243484497
239,19,resnet,4,16,2.2479875087738037
240,20,resnet,4,16,2.1000003814697266
241,21,resnet,4,16,2.0907907485961914
242,22,resnet,4,16,2.096503734588623
243,23,resnet,4,16,2.0818114280700684
244,24,resnet,4,16,2.323289155960083
245,25,resnet,4,16,2.095872163772583
246,26,resnet,4,16,2.171549081802368
247,27,resnet,4,16,2.0540683269500732
248,28,resnet,4,16,2.119019031524658
249,29,resnet,4,16,2.109707832336426
250,30,resnet,4,16,2.0972414016723633
251,31,resnet,4,16,2.1318767070770264
252,32,resnet,4,16,2.2105283737182617
253,33,resnet,4,16,2.206409215927124
254,34,resnet,4,16,2.0858540534973145
255,35,resnet,4,16,2.150102138519287
256,36,resnet,4,16,2.1102163791656494
257,37,resnet,4,16,2.199540138244629
258,38,resnet,4,16,2.1449549198150635
259,39,resnet,4,16,2.1813318729400635
260,40,resnet,4,16,2.1558785438537598
261,41,resnet,4,16,2.2040908336639404
262,42,resnet,4,16,2.1635653972625732
263,43,resnet,4,16,2.1781649589538574
264,44,resnet,4,16,2.157647132873535
265,45,resnet,4,16,2.1486246585845947
266,46,resnet,4,16,2.1359810829162598
267,47,resnet,4,16,2.1435093879699707
268,48,resnet,4,16,2.1207435131073
269,49,resnet,4,16,2.1700122356414795
270,50,resnet,4,16,2.2028281688690186
271,51,resnet,4,16,2.135345220565796
272,52,resnet,4,16,2.1648218631744385
273,53,resnet,4,16,2.2285122871398926
274,54,resnet,4,16,2.1587302684783936
275,55,resnet,4,16,2.1595041751861572
276,56,resnet,4,16,2.166646957397461
277,57,resnet,4,16,2.1805810928344727
278,58,resnet,4,16,2.174004316329956
279,59,resnet,4,16,2.1765987873077393
280,0,resnet,5,16,2.6699681282043457
281,1,resnet,5,16,2.5949487686157227
282,2,resnet,5,16,2.6028013229370117
283,3,resnet,5,16,2.597653388977051
284,4,resnet,5,16,2.787255048751831
285,5,resnet,5,16,2.590599298477173
286,6,resnet,5,16,2.5940001010894775
287,7,resnet,5,16,2.9220590591430664
288,8,resnet,5,16,2.9096150398254395
289,9,resnet,5,16,2.6304397583007812
290,10,resnet,5,16,2.5847525596618652
291,11,resnet,5,16,2.597843885421753
292,12,resnet,5,16,2.575582265853882
293,13,resnet,5,16,2.583103656768799
294,14,resnet,5,16,2.596086025238037
295,15,resnet,5,16,2.609825611114502
296,16,resnet,5,16,2.5659303665161133
297,17,resnet,5,16,2.6050591468811035
298,18,resnet,5,16,2.7888901233673096
299,19,resnet,5,16,2.940985918045044
300,20,resnet,5,16,2.645275592803955
301,21,resnet,5,16,2.69055438041687
302,22,resnet,5,16,2.755439281463623
303,23,resnet,5,16,2.776545524597168
304,24,resnet,5,16,2.786393404006958
305,25,resnet,5,16,2.7966325283050537
306,26,resnet,5,16,2.639187812805176
307,27,resnet,5,16,2.592041254043579
