usage of xception 1 on batch 2 is [[5.3430666666069254e-05, 22.45349313680453, 0.7452147628333327], [0.0, 0.0, 0.0]] 
usage of xception 2 on batch 2 is [[0.004898982266665067, 6.792347447059562e-05, 1.9398308222666705], [0.0, 0.0, 0.0]] 
usage of resnet 1 on batch 2 is [[0.005211777766665667, 2.8830567012512026e-05, 5.901350000006763e-05], [0.0, 0.0, 0.0]] 
usage of resnet 2 on batch 2 is [[0.0002424422666611766, 4.524873333290695e-05, 8.360040000449468e-05], [0.0, 0.0, 0.0]] 
usage of resnet 3 on batch 2 is [[4.8457666669795195e-05, 27.65362437532138, 0.00017454219999611572], [0.0, 0.0, 0.0]] 
usage of inception 1 on batch 2 is [[8.937553332846923e-05, 29.192988645378673, 1.216963741500005], [0.0, 0.0, 0.0]] 
usage of inception 2 on batch 2 is [[0.005210889166664856, 8.532856838383736e-05, 2.0471559078333335], [0.0, 0.0, 0.0]] 
usage of xception 1 on batch 4 is [[0.005341344233329437, 5.801075135032445e-05, 4.36408666701027e-05], [0.0, 0.0, 0.0]] 
usage of xception 2 on batch 4 is [[7.550480000494039e-05, 0.00010190206666417604, 0.00022228846666318228], [0.0, 0.0, 0.0]] 
usage of resnet 1 on batch 4 is [[8.224723333114526e-05, 6.0873114197595056e-05, 1.662599372766666], [0.0, 0.0, 0.0]] 
usage of resnet 2 on batch 4 is [[0.008051164233332504, 3.2990536822093696e-05, 1.889574201233328], [0.0, 0.0, 0.0]] 
usage of resnet 3 on batch 4 is [[0.00011374383333683606, 6.387686666281903e-05, 0.00012265909999769064], [0.0, 0.0, 0.0]] 
usage of inception 1 on batch 4 is [[8.268549999381017e-05, 39.99854667568165, 0.00013111463332885856], [0.0, 0.0, 0.0]] 
usage of inception 2 on batch 4 is [[5.6713433332333806e-05, 6.938091027862544e-05, 2.438121951133333], [0.0, 0.0, 0.0]] 
usage of xception 1 on batch 8 is [[0.005071815033337164, 5.889173332889186e-05, 0.87614809103333], [0.0, 0.0, 0.0]] 
usage of xception 2 on batch 8 is [[8.101550000295295e-05, 5.854285251357699e-05, 1.2491017256333332], [0.0, 0.0, 0.0]] 
usage of resnet 1 on batch 8 is [[0.005372810566662641, 7.58370798893903e-05, 0.8613501971333335], [0.0, 0.0, 0.0]] 
usage of resnet 2 on batch 8 is [[7.619930000449434e-05, 49.56155981127041, 0.19874412713333336], [0.0, 0.0, 0.0]] 
usage of resnet 3 on batch 8 is [[0.008212781866670108, 7.952312104354025e-05, 3.297773214466664], [0.0, 0.0, 0.0]] 
usage of inception 1 on batch 8 is [[8.759613333495509e-05, 54.31064138458142, 0.14348920679999538], [0.0, 0.0, 0.0]] 
usage of inception 2 on batch 8 is [[5.208180000408902e-05, 3.141207149514558e-05, 3.1771568766000047], [0.0, 0.0, 0.0]] 
usage of xception 1 on batch 16 is [[4.29357666538029e-05, 6.687568113095215e-05, 1.77890683893332], [0.0, 0.0, 0.0]] 
usage of xception 2 on batch 16 is [[9.013056668057591e-05, 65.75000634225641, 0.0001437410666615809], [0.0, 0.0, 0.0]] 
usage of resnet 1 on batch 16 is [[0.006169108600003407, 9.018259999417447e-05, 1.4476446071666638], [0.0, 0.0, 0.0]] 
usage of resnet 2 on batch 16 is [[7.317650000307671e-05, 7.292501368754629e-05, 1.9582715864333295], [0.0, 0.0, 0.0]] 
usage of resnet 3 on batch 16 is [[8.374786666536238e-05, 5.393449999549678e-05, 0.8782124129666651], [0.0, 0.0, 0.0]] 
