,index,model-name,model-version,batch-size,latency
0,0,xception,1,2,0.26822686195373535
1,1,xception,1,2,0.26128673553466797
2,2,xception,1,2,0.2615835666656494
3,3,xception,1,2,0.25882530212402344
4,4,xception,1,2,0.2550837993621826
5,5,xception,1,2,0.2557971477508545
6,6,xception,1,2,0.25476861000061035
7,7,xception,1,2,0.255603551864624
8,8,xception,1,2,0.25282979011535645
9,9,xception,1,2,0.2508838176727295
10,10,xception,1,2,0.26097726821899414
11,11,xception,1,2,0.2635965347290039
12,12,xception,1,2,0.25818943977355957
13,13,xception,1,2,0.25768446922302246
14,14,xception,1,2,0.25758814811706543
15,15,xception,1,2,0.265002965927124
16,16,xception,1,2,0.26337122917175293
17,17,xception,1,2,0.266726016998291
18,18,xception,1,2,0.2649271488189697
19,19,xception,1,2,0.2627592086791992
20,0,xception,2,2,0.4428236484527588
21,1,xception,2,2,0.26500821113586426
22,2,xception,2,2,0.2650418281555176
23,3,xception,2,2,0.2654557228088379
24,4,xception,2,2,0.2648639678955078
25,5,xception,2,2,0.2675189971923828
26,6,xception,2,2,0.2622530460357666
27,7,xception,2,2,0.26618170738220215
28,8,xception,2,2,0.2729039192199707
29,9,xception,2,2,0.2630288600921631
30,10,xception,2,2,0.25898241996765137
31,11,xception,2,2,0.2584109306335449
32,12,xception,2,2,0.2584388256072998
33,13,xception,2,2,0.25946688652038574
34,14,xception,2,2,0.2676374912261963
35,15,xception,2,2,0.25889015197753906
36,16,xception,2,2,0.2624053955078125
37,17,xception,2,2,0.26436853408813477
38,18,xception,2,2,0.2625596523284912
39,19,xception,2,2,0.2603483200073242
40,0,resnet,1,2,0.23868703842163086
41,1,resnet,1,2,0.24970674514770508
42,2,resnet,1,2,0.24952292442321777
43,3,resnet,1,2,0.24878787994384766
44,4,resnet,1,2,0.2446000576019287
45,5,resnet,1,2,0.24473214149475098
46,6,resnet,1,2,0.23604846000671387
47,7,resnet,1,2,0.23935627937316895
48,8,resnet,1,2,0.2436535358428955
49,9,resnet,1,2,0.23815417289733887
50,10,resnet,1,2,0.24421930313110352
51,11,resnet,1,2,0.2463703155517578
52,12,resnet,1,2,0.24053549766540527
53,13,resnet,1,2,0.23915362358093262
54,14,resnet,1,2,0.23733067512512207
55,15,resnet,1,2,0.24234533309936523
56,16,resnet,1,2,0.23904061317443848
57,17,resnet,1,2,0.26088905334472656
58,18,resnet,1,2,0.23839282989501953
59,19,resnet,1,2,0.23334455490112305
60,0,resnet,2,2,0.42101430892944336
61,1,resnet,2,2,0.2602384090423584
62,2,resnet,2,2,0.25722551345825195
63,3,resnet,2,2,0.25092005729675293
64,4,resnet,2,2,0.2548961639404297
65,5,resnet,2,2,0.25332164764404297
66,6,resnet,2,2,0.24804997444152832
67,7,resnet,2,2,0.2959465980529785
68,8,resnet,2,2,0.2500739097595215
69,9,resnet,2,2,0.2501354217529297
70,10,resnet,2,2,0.24971461296081543
71,11,resnet,2,2,0.2536442279815674
72,12,resnet,2,2,0.2512326240539551
73,13,resnet,2,2,0.25522732734680176
74,14,resnet,2,2,0.31010007858276367
75,15,resnet,2,2,0.2517218589782715
76,16,resnet,2,2,0.24793648719787598
77,17,resnet,2,2,0.24640583992004395
78,18,resnet,2,2,0.24556183815002441
79,19,resnet,2,2,0.24999570846557617
80,0,resnet,3,2,0.5223939418792725
81,1,resnet,3,2,0.3185763359069824
82,2,resnet,3,2,0.2672600746154785
83,3,resnet,3,2,0.27306509017944336
84,4,resnet,3,2,0.26915669441223145
85,5,resnet,3,2,0.26101255416870117
86,6,resnet,3,2,0.6193017959594727
87,7,resnet,3,2,0.3011050224304199
88,8,resnet,3,2,0.273862361907959
89,9,resnet,3,2,0.26267051696777344
90,10,resnet,3,2,0.26920342445373535
91,11,resnet,3,2,0.26387619972229004
92,12,resnet,3,2,0.26241230964660645
93,13,resnet,3,2,0.2610459327697754
94,14,resnet,3,2,0.33509063720703125
95,15,resnet,3,2,0.26494860649108887
96,16,resnet,3,2,0.2751593589782715
97,17,resnet,3,2,0.26433658599853516
98,18,resnet,3,2,0.26761841773986816
99,19,resnet,3,2,0.2628905773162842
100,0,inception,1,2,0.44407176971435547
101,1,inception,1,2,0.2591886520385742
102,2,inception,1,2,0.600926399230957
103,3,inception,1,2,0.31208038330078125
104,4,inception,1,2,0.26349711418151855
105,5,inception,1,2,0.24912476539611816
106,6,inception,1,2,0.2620279788970947
107,7,inception,1,2,0.25571179389953613
108,8,inception,1,2,0.26424312591552734
109,9,inception,1,2,0.3126511573791504
110,10,inception,1,2,0.2900819778442383
111,11,inception,1,2,0.2761802673339844
112,12,inception,1,2,0.2648780345916748
113,13,inception,1,2,0.26650571823120117
114,14,inception,1,2,0.2664918899536133
115,15,inception,1,2,0.6106152534484863
116,16,inception,1,2,0.3166804313659668
117,17,inception,1,2,0.26568078994750977
118,18,inception,1,2,0.2650797367095947
119,19,inception,1,2,0.2590639591217041
120,0,inception,2,2,0.776416540145874
121,1,inception,2,2,0.26288819313049316
122,2,inception,2,2,0.2617766857147217
123,3,inception,2,2,0.2586982250213623
124,4,inception,2,2,0.2601144313812256
125,5,inception,2,2,0.2635676860809326
126,6,inception,2,2,0.2638838291168213
127,7,inception,2,2,0.2665903568267822
128,8,inception,2,2,0.32758045196533203
129,9,inception,2,2,0.2646639347076416
130,10,inception,2,2,0.2633371353149414
131,11,inception,2,2,0.2638692855834961
132,12,inception,2,2,0.26418304443359375
133,13,inception,2,2,0.2633383274078369
134,14,inception,2,2,0.2627696990966797
135,15,inception,2,2,0.37609219551086426
136,16,inception,2,2,0.30449962615966797
137,17,inception,2,2,0.26767444610595703
138,18,inception,2,2,0.2644050121307373
139,19,inception,2,2,0.26968860626220703
140,0,xception,1,4,0.5010833740234375
141,1,xception,1,4,0.48391175270080566
142,2,xception,1,4,0.5249004364013672
143,3,xception,1,4,0.47345805168151855
144,4,xception,1,4,0.47620558738708496
145,5,xception,1,4,0.8650503158569336
146,6,xception,1,4,0.4862847328186035
147,7,xception,1,4,0.47583532333374023
148,8,xception,1,4,0.495009183883667
149,9,xception,1,4,0.5067789554595947
150,10,xception,1,4,0.4687514305114746
151,11,xception,1,4,0.4760136604309082
152,12,xception,1,4,0.4785456657409668
153,13,xception,1,4,0.5242879390716553
154,14,xception,1,4,0.4701240062713623
155,15,xception,1,4,0.47736215591430664
156,16,xception,1,4,0.48154544830322266
157,17,xception,1,4,0.5269999504089355
158,18,xception,1,4,0.4692556858062744
159,19,xception,1,4,0.4718761444091797
160,0,xception,2,4,0.5670533180236816
161,1,xception,2,4,0.5346360206604004
162,2,xception,2,4,0.4832613468170166
163,3,xception,2,4,0.4820671081542969
164,4,xception,2,4,0.46541380882263184
165,5,xception,2,4,0.5490515232086182
166,6,xception,2,4,0.46379971504211426
167,7,xception,2,4,0.47464561462402344
168,8,xception,2,4,0.47702813148498535
169,9,xception,2,4,0.5346310138702393
170,10,xception,2,4,0.47701358795166016
171,11,xception,2,4,0.4756169319152832
172,12,xception,2,4,0.4754970073699951
173,13,xception,2,4,0.5395488739013672
174,14,xception,2,4,0.48689794540405273
175,15,xception,2,4,0.5160360336303711
176,16,xception,2,4,0.48230504989624023
177,17,xception,2,4,0.5402817726135254
178,18,xception,2,4,0.5068774223327637
179,19,xception,2,4,0.4864988327026367
180,0,resnet,1,4,0.5100870132446289
181,1,resnet,1,4,0.5175445079803467
182,2,resnet,1,4,0.4635958671569824
183,3,resnet,1,4,0.46175265312194824
184,4,resnet,1,4,0.4574270248413086
185,5,resnet,1,4,0.5172269344329834
186,6,resnet,1,4,0.49993300437927246
187,7,resnet,1,4,0.44899559020996094
188,8,resnet,1,4,0.46368837356567383
189,9,resnet,1,4,0.44846224784851074
190,10,resnet,1,4,0.5322599411010742
191,11,resnet,1,4,0.45508909225463867
192,12,resnet,1,4,0.4629523754119873
193,13,resnet,1,4,0.4994196891784668
194,14,resnet,1,4,0.45462822914123535
195,15,resnet,1,4,0.45076489448547363
196,16,resnet,1,4,0.4475882053375244
197,17,resnet,1,4,0.49521374702453613
198,18,resnet,1,4,0.44492387771606445
199,19,resnet,1,4,0.4504556655883789
200,0,resnet,2,4,0.5409774780273438
201,1,resnet,2,4,0.48184633255004883
202,2,resnet,2,4,0.4747641086578369
203,3,resnet,2,4,0.5211076736450195
204,4,resnet,2,4,0.4678518772125244
205,5,resnet,2,4,0.4772002696990967
206,6,resnet,2,4,0.47217464447021484
207,7,resnet,2,4,0.533907413482666
208,8,resnet,2,4,0.4770064353942871
209,9,resnet,2,4,0.47175097465515137
210,10,resnet,2,4,0.530146598815918
211,11,resnet,2,4,0.46363258361816406
212,12,resnet,2,4,0.46288132667541504
213,13,resnet,2,4,0.4690837860107422
214,14,resnet,2,4,0.5421881675720215
215,15,resnet,2,4,0.4720735549926758
216,16,resnet,2,4,0.46871113777160645
217,17,resnet,2,4,0.461763858795166
218,18,resnet,2,4,0.5270652770996094
219,19,resnet,2,4,0.46952271461486816
220,0,resnet,3,4,0.5527825355529785
221,1,resnet,3,4,0.47820115089416504
222,2,resnet,3,4,0.8732471466064453
223,3,resnet,3,4,0.49150848388671875
224,4,resnet,3,4,0.4738321304321289
225,5,resnet,3,4,0.46820998191833496
226,6,resnet,3,4,0.5335118770599365
227,7,resnet,3,4,0.4727895259857178
228,8,resnet,3,4,0.4701387882232666
229,9,resnet,3,4,0.48444294929504395
230,10,resnet,3,4,0.5538127422332764
231,11,resnet,3,4,0.4919297695159912
232,12,resnet,3,4,0.4746060371398926
233,13,resnet,3,4,0.49117326736450195
234,14,resnet,3,4,0.5246000289916992
235,15,resnet,3,4,0.49799466133117676
236,16,resnet,3,4,0.4940478801727295
237,17,resnet,3,4,0.49435997009277344
238,18,resnet,3,4,0.5446014404296875
239,19,resnet,3,4,0.4970846176147461
240,0,inception,1,4,0.5541348457336426
241,1,inception,1,4,0.5365474224090576
242,2,inception,1,4,0.4777705669403076
243,3,inception,1,4,0.48014402389526367
244,4,inception,1,4,0.4782905578613281
245,5,inception,1,4,0.5258855819702148
246,6,inception,1,4,0.4720039367675781
247,7,inception,1,4,0.47113943099975586
248,8,inception,1,4,0.8626708984375
249,9,inception,1,4,0.5290846824645996
250,10,inception,1,4,0.4846765995025635
251,11,inception,1,4,0.47226572036743164
252,12,inception,1,4,0.5351254940032959
253,13,inception,1,4,0.4723243713378906
254,14,inception,1,4,0.4774198532104492
255,15,inception,1,4,0.4726371765136719
256,16,inception,1,4,0.5317916870117188
257,17,inception,1,4,0.4772629737854004
258,18,inception,1,4,0.4783644676208496
259,19,inception,1,4,0.48534250259399414
260,0,inception,2,4,0.6297445297241211
261,1,inception,2,4,0.4969215393066406
262,2,inception,2,4,0.4948289394378662
263,3,inception,2,4,0.4888336658477783
264,4,inception,2,4,0.484513521194458
265,5,inception,2,4,0.484393835067749
266,6,inception,2,4,0.4938788414001465
267,7,inception,2,4,0.49996089935302734
268,8,inception,2,4,0.49999380111694336
269,9,inception,2,4,0.5007433891296387
270,10,inception,2,4,0.48276495933532715
271,11,inception,2,4,0.4851233959197998
272,12,inception,2,4,0.4875984191894531
273,13,inception,2,4,0.4952239990234375
274,14,inception,2,4,0.5073235034942627
275,15,inception,2,4,0.48453235626220703
276,16,inception,2,4,0.49728918075561523
277,17,inception,2,4,0.4805285930633545
278,18,inception,2,4,0.47641968727111816
279,19,inception,2,4,0.47332167625427246
280,0,xception,1,8,0.9650588035583496
281,1,xception,1,8,0.9567391872406006
282,2,xception,1,8,0.9446024894714355
283,3,xception,1,8,0.9524617195129395
284,4,xception,1,8,0.9301121234893799
285,5,xception,1,8,0.9325282573699951
286,6,xception,1,8,0.9309372901916504
287,7,xception,1,8,0.9368841648101807
288,8,xception,1,8,0.932518482208252
289,9,xception,1,8,0.927875280380249
290,10,xception,1,8,0.9324460029602051
291,11,xception,1,8,0.9331738948822021
292,12,xception,1,8,0.933997631072998
293,13,xception,1,8,0.9354116916656494
294,14,xception,1,8,0.9291107654571533
295,15,xception,1,8,0.9337491989135742
296,16,xception,1,8,0.9201664924621582
297,17,xception,1,8,0.9537456035614014
298,18,xception,1,8,0.9110047817230225
299,19,xception,1,8,0.91629958152771
300,0,xception,2,8,1.0260632038116455
301,1,xception,2,8,0.9343676567077637
302,2,xception,2,8,0.9413750171661377
303,3,xception,2,8,0.9111161231994629
304,4,xception,2,8,0.9246516227722168
305,5,xception,2,8,0.9231922626495361
306,6,xception,2,8,0.9152216911315918
307,7,xception,2,8,0.9357376098632812
308,8,xception,2,8,0.95123291015625
309,9,xception,2,8,0.9361011981964111
310,10,xception,2,8,0.9603631496429443
311,11,xception,2,8,0.9603230953216553
312,12,xception,2,8,0.9540004730224609
313,13,xception,2,8,0.9269256591796875
314,14,xception,2,8,0.9639072418212891
315,15,xception,2,8,0.9646379947662354
316,16,xception,2,8,0.8971505165100098
317,17,xception,2,8,0.9716184139251709
318,18,xception,2,8,0.9890165328979492
319,19,xception,2,8,0.9793150424957275
320,0,resnet,1,8,1.0275514125823975
321,1,resnet,1,8,0.9146528244018555
322,2,resnet,1,8,0.9813394546508789
323,3,resnet,1,8,0.8932809829711914
324,4,resnet,1,8,0.9560284614562988
325,5,resnet,1,8,0.8925778865814209
326,6,resnet,1,8,0.8919916152954102
327,7,resnet,1,8,0.9725992679595947
328,8,resnet,1,8,0.8865883350372314
329,9,resnet,1,8,0.9752593040466309
330,10,resnet,1,8,0.92608642578125
331,11,resnet,1,8,0.9927966594696045
332,12,resnet,1,8,0.9541676044464111
333,13,resnet,1,8,0.9420690536499023
334,14,resnet,1,8,0.9944660663604736
335,15,resnet,1,8,0.9187302589416504
336,16,resnet,1,8,0.9781062602996826
337,17,resnet,1,8,0.922126293182373
338,18,resnet,1,8,0.974057674407959
339,19,resnet,1,8,0.9335663318634033
340,0,resnet,2,8,1.0300908088684082
341,1,resnet,2,8,0.9220447540283203
342,2,resnet,2,8,1.0137555599212646
343,3,resnet,2,8,0.9481501579284668
344,4,resnet,2,8,1.0124657154083252
345,5,resnet,2,8,0.9247376918792725
346,6,resnet,2,8,1.0280871391296387
347,7,resnet,2,8,0.9410932064056396
348,8,resnet,2,8,1.0209600925445557
349,9,resnet,2,8,0.9490177631378174
350,10,resnet,2,8,1.010366439819336
351,11,resnet,2,8,0.9319696426391602
352,12,resnet,2,8,1.0155320167541504
353,13,resnet,2,8,0.9221606254577637
354,14,resnet,2,8,1.0103211402893066
355,15,resnet,2,8,0.9201762676239014
356,16,resnet,2,8,1.0069241523742676
357,17,resnet,2,8,0.9396369457244873
358,18,resnet,2,8,1.0285248756408691
359,19,resnet,2,8,0.9266071319580078
360,0,resnet,3,8,1.5877337455749512
361,1,resnet,3,8,1.0200371742248535
362,2,resnet,3,8,1.0387485027313232
363,3,resnet,3,8,0.9477517604827881
364,4,resnet,3,8,1.026932954788208
365,5,resnet,3,8,0.9655401706695557
366,6,resnet,3,8,1.024460792541504
367,7,resnet,3,8,0.9113786220550537
368,8,resnet,3,8,0.9551961421966553
369,9,resnet,3,8,0.994265079498291
370,10,resnet,3,8,1.0346894264221191
371,11,resnet,3,8,0.9784934520721436
372,12,resnet,3,8,1.0337727069854736
373,13,resnet,3,8,0.9626612663269043
374,14,resnet,3,8,1.0156593322753906
375,15,resnet,3,8,0.9669082164764404
376,16,resnet,3,8,1.102179765701294
377,17,resnet,3,8,0.9614410400390625
378,18,resnet,3,8,1.019745111465454
379,19,resnet,3,8,0.9464011192321777
380,0,inception,1,8,1.0255517959594727
381,1,inception,1,8,1.0469932556152344
382,2,inception,1,8,0.9563970565795898
383,3,inception,1,8,1.0480923652648926
384,4,inception,1,8,0.9518156051635742
385,5,inception,1,8,1.0448155403137207
386,6,inception,1,8,0.9643516540527344
387,7,inception,1,8,1.0281641483306885
388,8,inception,1,8,0.9727036952972412
389,9,inception,1,8,1.0423362255096436
390,10,inception,1,8,0.9610285758972168
391,11,inception,1,8,1.0337886810302734
392,12,inception,1,8,0.9597649574279785
393,13,inception,1,8,1.0489766597747803
394,14,inception,1,8,1.3200154304504395
395,15,inception,1,8,1.043092966079712
396,16,inception,1,8,1.0455985069274902
397,17,inception,1,8,1.0032973289489746
398,18,inception,1,8,1.0432140827178955
399,19,inception,1,8,0.9553918838500977
400,0,inception,2,8,1.1105239391326904
401,1,inception,2,8,0.9862964153289795
402,2,inception,2,8,0.9644660949707031
403,3,inception,2,8,0.9428019523620605
404,4,inception,2,8,1.0159869194030762
405,5,inception,2,8,0.9124886989593506
406,6,inception,2,8,1.037189245223999
407,7,inception,2,8,1.3379976749420166
408,8,inception,2,8,0.9798712730407715
409,9,inception,2,8,1.072005271911621
410,10,inception,2,8,0.9550251960754395
411,11,inception,2,8,1.0305442810058594
412,12,inception,2,8,0.9453237056732178
413,13,inception,2,8,1.0273585319519043
414,14,inception,2,8,0.9794058799743652
415,15,inception,2,8,1.0096542835235596
416,16,inception,2,8,0.9606561660766602
417,17,inception,2,8,1.0513134002685547
418,18,inception,2,8,0.9586868286132812
419,19,inception,2,8,1.0218067169189453
420,0,xception,1,16,2.076469659805298
421,1,xception,1,16,1.9978725910186768
422,2,xception,1,16,1.9493286609649658
423,3,xception,1,16,1.816451072692871
424,4,xception,1,16,1.920583724975586
425,5,xception,1,16,2.4002809524536133
426,6,xception,1,16,2.0577504634857178
427,7,xception,1,16,2.009538412094116
428,8,xception,1,16,1.9702486991882324
429,9,xception,1,16,1.983264684677124
430,10,xception,1,16,1.8996665477752686
431,11,xception,1,16,1.992917537689209
432,12,xception,1,16,1.966144323348999
433,13,xception,1,16,1.9803078174591064
434,14,xception,1,16,1.9712777137756348
435,15,xception,1,16,1.9149441719055176
436,16,xception,1,16,2.006542205810547
437,17,xception,1,16,2.0583817958831787
438,18,xception,1,16,1.934753179550171
439,19,xception,1,16,1.9095704555511475
440,0,xception,2,16,2.379631280899048
441,1,xception,2,16,1.9386229515075684
442,2,xception,2,16,1.9561336040496826
443,3,xception,2,16,1.9538450241088867
444,4,xception,2,16,1.8804569244384766
445,5,xception,2,16,1.9100501537322998
446,6,xception,2,16,1.991515874862671
447,7,xception,2,16,1.9837920665740967
448,8,xception,2,16,2.0558207035064697
449,9,xception,2,16,2.049119472503662
450,10,xception,2,16,2.040933847427368
451,11,xception,2,16,2.0720248222351074
452,12,xception,2,16,2.087113380432129
453,13,xception,2,16,2.0423219203948975
454,14,xception,2,16,2.091747283935547
455,15,xception,2,16,2.2304508686065674
456,16,xception,2,16,2.0564112663269043
457,17,xception,2,16,2.031381368637085
458,18,xception,2,16,2.3953747749328613
459,19,xception,2,16,2.4428927898406982
460,0,resnet,1,16,1.901716947555542
461,1,resnet,1,16,1.908416986465454
462,2,resnet,1,16,1.9722092151641846
463,3,resnet,1,16,2.2575368881225586
464,4,resnet,1,16,2.3074374198913574
465,5,resnet,1,16,1.8936455249786377
466,6,resnet,1,16,1.8902466297149658
467,7,resnet,1,16,1.8838508129119873
468,8,resnet,1,16,1.8785829544067383
469,9,resnet,1,16,1.9119231700897217
470,10,resnet,1,16,1.9273262023925781
471,11,resnet,1,16,1.9143216609954834
472,12,resnet,1,16,1.9316694736480713
473,13,resnet,1,16,1.9131557941436768
474,14,resnet,1,16,1.9234375953674316
475,15,resnet,1,16,1.9480481147766113
476,16,resnet,1,16,1.9031667709350586
477,17,resnet,1,16,1.9400947093963623
478,18,resnet,1,16,1.9709339141845703
479,19,resnet,1,16,1.9480550289154053
480,0,resnet,2,16,1.858271598815918
481,1,resnet,2,16,1.8416438102722168
482,2,resnet,2,16,1.8441970348358154
483,3,resnet,2,16,1.8139307498931885
484,4,resnet,2,16,1.8979878425598145
485,5,resnet,2,16,1.933053970336914
486,6,resnet,2,16,1.9083716869354248
487,7,resnet,2,16,1.9093937873840332
488,8,resnet,2,16,1.897789478302002
489,9,resnet,2,16,1.8641653060913086
490,10,resnet,2,16,1.8667759895324707
491,11,resnet,2,16,1.8230290412902832
492,12,resnet,2,16,1.8847837448120117
493,13,resnet,2,16,1.8885242938995361
494,14,resnet,2,16,1.865189790725708
495,15,resnet,2,16,1.8641493320465088
496,16,resnet,2,16,1.885779857635498
497,17,resnet,2,16,1.8874614238739014
498,18,resnet,2,16,1.9103920459747314
499,19,resnet,2,16,1.8837015628814697
500,0,resnet,3,16,1.9634137153625488
501,1,resnet,3,16,1.8764503002166748
502,2,resnet,3,16,1.899209976196289
503,3,resnet,3,16,1.8944976329803467
504,4,resnet,3,16,1.859177827835083
505,5,resnet,3,16,1.862903118133545
506,6,resnet,3,16,1.8430182933807373
507,7,resnet,3,16,1.8455376625061035
508,8,resnet,3,16,1.8437769412994385
509,9,resnet,3,16,1.8157920837402344
510,10,resnet,3,16,1.8442296981811523
511,11,resnet,3,16,1.8325119018554688
512,12,resnet,3,16,1.829883098602295
513,13,resnet,3,16,1.921525478363037
514,14,resnet,3,16,1.9104516506195068
515,15,resnet,3,16,1.8839147090911865
516,16,resnet,3,16,1.8761143684387207
517,17,resnet,3,16,1.888296365737915
518,18,resnet,3,16,1.9172940254211426
519,19,resnet,3,16,1.8842041492462158
520,0,inception,1,16,2.3326475620269775
521,1,inception,1,16,1.950763463973999
