usage of xception 1 on batch 2 is [[0.0, 0.0, 38498850.13333333], [0.0, 0.0, 4767061.333333333], [0.0, 0.0, 0.0]] 
usage of xception 2 on batch 2 is [[19110297.6, 0.0, 20690807.466666665], [19150165.333333332, 0.0, 20690807.466666665], [0.0, 0.0, 0.0]] 
usage of resnet 1 on batch 2 is [[17904025.6, 0.0, 0.0], [17933243.733333334, 0.0, 0.0], [0.0, 0.0, 0.0]] 
usage of resnet 2 on batch 2 is [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]] 
usage of resnet 3 on batch 2 is [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]] 
usage of inception 1 on batch 2 is [[20759893.333333332, 0.0, 50221602.13333333], [20799761.066666666, 0.0, 0.0], [0.0, 0.0, 0.0]] 
usage of inception 2 on batch 2 is [[24175411.2, 0.0, 28542429.866666667], [24215278.933333334, 0.0, 28542429.866666667], [0.0, 0.0, 0.0]] 
usage of xception 1 on batch 4 is [[30707165.866666667, 0.0, 0.0], [30747033.6, 0.0, 9819067.733333332], [0.0, 0.0, 0.0]] 
usage of xception 2 on batch 4 is [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]] 
usage of resnet 1 on batch 4 is [[39641634.13333333, 0.0, 19897139.2], [0.0, 0.0, 19897139.2], [0.0, 0.0, 0.0]] 
usage of resnet 2 on batch 4 is [[31766118.4, 0.0, 28379955.2], [31805986.133333333, 0.0, 28379955.2], [0.0, 0.0, 0.0]] 
usage of resnet 3 on batch 4 is [[0.0, 0.0, 0.0], [39394781.86666667, 0.0, 33653691.733333334], [0.0, 0.0, 0.0]] 
usage of inception 1 on batch 4 is [[0.0, 0.0, 0.0], [0.0, 0.0, 67717529.6], [0.0, 0.0, 0.0]] 
usage of inception 2 on batch 4 is [[32875042.133333333, 0.0, 29669512.533333335], [32914909.866666667, 0.0, 29669512.533333335], [0.0, 0.0, 0.0]] 
usage of xception 1 on batch 8 is [[46828748.8, 0.0, 30670301.866666667], [46868616.53333333, 0.0, 31443080.533333335], [0.0, 0.0, 0.0]] 
usage of xception 2 on batch 8 is [[0.0, 0.0, 64216678.4], [0.0, 0.0, 64256546.13333333], [0.0, 0.0, 0.0]] 
usage of resnet 1 on batch 8 is [[39469738.666666664, 0.0, 33378030.933333334], [39509606.4, 0.0, 33375300.266666666], [0.0, 0.0, 0.0]] 
usage of resnet 2 on batch 8 is [[0.0, 0.0, 0.0], [0.0, 0.0, 75621990.4], [0.0, 0.0, 0.0]] 
usage of resnet 3 on batch 8 is [[39611733.333333336, 0.0, 33742301.86666667], [39651601.06666667, 0.0, 33750220.8], [0.0, 0.0, 0.0]] 
usage of inception 1 on batch 8 is [[0.0, 74920243.67786667, 70988049.06666666], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]] 
usage of inception 2 on batch 8 is [[0.0, 0.0, 30540185.6], [43974792.53333333, 0.0, 30540185.6], [0.0, 0.0, 0.0]] 
usage of xception 1 on batch 16 is [[0.0, 0.0, 89972189.86666666], [0.0, 8863967.261582222, 0.0], [0.0, 0.0, 0.0]] 
usage of xception 2 on batch 16 is [[0.0, 111111203.73987554, 0.0], [0.0, 107323417.19950223, 85355042.13333334], [0.0, 0.0, 0.0]] 
usage of resnet 1 on batch 16 is [[40879035.733333334, 0.0, 29606570.666666668], [40918903.46666667, 0.0, 29601792.0], [0.0, 0.0, 0.0]] 
usage of resnet 2 on batch 16 is [[0.0, 0.0, 71420723.2], [0.0, 0.0, 71460590.93333334], [0.0, 0.0, 0.0]] 
usage of resnet 3 on batch 16 is [[0.0, 0.0, 81588906.66666667], [0.0, 40631091.2, 81628774.4], [0.0, 0.0, 0.0]] 
